lcBins,lcBinsRange,ctrate,ctrateErr,ctsbin,poissprob
335701394.5,5.0,16.76734693877551,1.8864739171445333,83,2.7582438599284287e-45
335701399.5,5.0,38.41632653061225,2.855463063052379,192,3.5715362697151674e-166
335701403.5,3.0,15.210884353741502,2.319638117440164,45,1.1750109944545183e-23
335701444.5,5.0,27.379591836734697,2.410638644747871,136,3.0068033132843175e-99
335701449.5,5.0,25.044897959183675,2.3055697369078008,125,3.615486297580507e-87
335701454.5,5.0,5.073170731707318,1.0355566392254087,25,2.8496416736674036e-24
335701463.5,5.0,33.74693877551021,2.67630633090515,168,1.7605919340984395e-136
335701468.5,5.0,5.518367346938776,1.082240876354387,27,8.67256532652091e-06
335701473.5,5.0,73.01224489795919,3.9365564225777683,365,0.0
335701478.5,5.0,70.39024390243902,3.8573616045793595,351,0.0
335701483.5,5.0,11.248979591836735,1.5451661805819876,56,4.710016058318675e-23
335701488.5,5.0,5.093877551020408,1.0397834010181655,25,2.8496416736674036e-24
335701493.5,5.0,3.8204081632653066,0.9004788397151136,19,1.091627958688408e-16
335701498.5,5.0,7.853061224489797,1.2910353125530916,39,7.816863045558299e-12
335701503.5,5.0,23.346938775510207,2.2260432695856283,116,1.3543452854092094e-77
335701508.5,5.0,28.016326530612247,2.438508225469204,140,9.731764712167337e-104
335701513.5,5.0,20.50406504065041,2.0818723808674693,102,2.594180717391288e-63
335701518.5,5.0,23.559183673469388,2.23613875570752,117,1.209207426913905e-78
335701523.5,5.0,4.03265306122449,0.925154061486184,20,6.669435825468336e-18
335701528.5,5.0,66.4326530612245,3.7549955619331223,332,0.0
335701533.5,5.0,14.644897959183675,1.763038534170367,73,1.5734245824126855e-36
335701538.5,5.0,73.77235772357724,3.9489437723496312,368,0.0
335701543.5,5.0,24.19591836734694,2.266155384104605,120,8.180171208972955e-82
335701548.5,5.0,119.06938775510206,5.027113491273506,595,0.0
335701553.5,5.0,100.39183673469388,4.616021570973226,501,0.0
335701558.5,5.0,109.2,4.765878722754073,546,0.0
335701563.5,5.0,69.74117647058826,3.7711709194633745,348,0.0
335701568.5,5.0,54.243137254901974,3.3258601348062933,271,2.2086264205354738e-272
335701573.5,5.0,47.71764705882353,3.119400173021469,238,1.3315400477892691e-226
335701578.5,5.0,41.6,2.912582574778261,208,1.057252545159045e-186
335701583.5,5.0,12.235294117647062,1.5795696784532214,61,8.206779758638286e-27
335701588.5,5.0,10.603921568627452,1.4704993437186467,53,6.872188475660567e-21
335701593.5,5.0,16.72156862745098,1.8465883418946893,83,2.7582438599284287e-45
335701598.5,5.0,14.274509803921571,1.7061302501871347,71,7.578561038376568e-35
335701603.5,5.0,16.51764705882353,1.8352941176470592,82,2.1915606049142912e-44
335701608.5,5.0,2.03921568627451,0.6448566208970814,10,6.025682541930902e-07
335701613.5,5.0,11.419607843137255,1.5260092871548625,57,8.631868181640814e-24
335701618.5,5.0,17.537254901960786,1.8910908304540262,87,6.14816924479772e-49
335701623.5,5.0,12.847058823529414,1.6185772726512793,64,3.742246302406226e-29
335701628.5,5.0,75.45098039215688,3.92250969100749,377,0.0
335701632.5,3.0,80.54901960784315,5.232221075514471,241,2.4532258495836808e-282
335701666.5,5.0,59.137254901960794,3.472659180502639,295,8.728344164614367e-307
335701671.5,5.0,3.4666666666666672,0.8407901667926211,17,2.5004136978386783e-14
335701711.5,5.0,2.2431372549019613,0.676331329797964,11,6.693573025197247e-08
335701741.5,5.0,2.03921568627451,0.6448566208970814,10,6.025682541930902e-07
